url,status,PageRank
https://www.nescafe.com/,legitimate,5
https://www.vision-net.ie/Company-Info/Heavyweight-Ecommerce-Apps-Limited-586552,legitimate,4
https://casetext.com/case/cable-news-network-v-video-monitoring-servs,legitimate,5
http://ironicsoftware.com/yep-leap-3-1-dropbox/,legitimate,4
https://hentaifox.com/login/,legitimate,3
https://halogen.tv/static/terms-of-service,legitimate,3
https://vacilando.org/article/google-heartbeat,legitimate,4
https://archiveofourown.org/tags/Zebra%20(Toriko)/works,legitimate,5
https://www.cartoonnetworkasia.com/help,legitimate,4
https://www.translatorscafe.com/cafe/job292761.htm,legitimate,5
https://guildwars.fandom.com/wiki/Fictional_Guild_Wars_login_announcement,legitimate,3
https://www.talktoivy.com/ivypay,legitimate,3
https://practicefinance.wellsfargo.com/,legitimate,3
https://www.clickmechanic.com/,legitimate,4
http://www.apeda.gov.in/apedawebsite/GroundNut/GroundNut.htm,legitimate,5
https://participedia.net/organization/306,legitimate,4
https://www.infosecurity-magazine.com/news/phishing-scam-lloyds-bank-customers/,legitimate,5
https://windows10passwordesupport.freshdesk.com/support/solutions/articles/36000035549--password-reset-account-live-com-password-reset,legitimate,2
https://enrollapp.com/,legitimate,4
https://www.index.hr/,legitimate,5
https://cloud.digitalocean.com/login,legitimate,4
https://www.tobiidynavox.com/support-training/faq-from-salesforce/how-do-i-get-windows-to-stop-asking-me-to-log-in-after-waking-from-sleep/,legitimate,4
https://extranet.papajohns.com/gm-password-reset,legitimate,2
https://www.coolmath.com/algebra/15-functions/06-finding-the-domain-01,legitimate,4
http://retreats.life-counselling.co.uk/contact.html,legitimate,2
https://www.thetruckersreport.com/trucker-tax-tips/,legitimate,6
https://www.application.careers/save-a-lot-application-online,legitimate,4
https://www.findhs.codes/CNCodes/Of-Heading-8409,legitimate,3
https://hopin.com/events/gta-ecommerce-february-18-2021,legitimate,6
https://www.abovems.com/,legitimate,3
https://trustly.com/en/what-is-trustly/,legitimate,5
https://www.eway.com.au/,legitimate,5
https://www.finastra.com/,legitimate,4
https://www.twinkl.com.cn/illustration/cranky-ducks-game-angry-birds-login-computing-gaming-password-internet-safety-app-tech-mps-ks2-black-and-white-rgb,legitimate,2
https://labs.reasonsecurity.com:443/threat-research,legitimate,3
https://calligrascape.com/learn-blackletter-calligraphy/,legitimate,3
https://invisioncommunity.com/,legitimate,4
https://www.mikekorin.com/clarendon/,legitimate,0
https://www.nextpit.com/smartphone-displays-explained,legitimate,4
https://mobili.co.uk/,legitimate,2
https://americansofconscience.com/12-2-2018/,legitimate,3
https://nakedsecurity.sophos.com/2013/01/08/yahoo-mail-https-ssl/,legitimate,5
https://eximl.com/,legitimate,0
https://www.bethelks.edu/academics/registrar,legitimate,4
https://events.ucf.edu/tag/773425665/collective-impact/,legitimate,3
https://www.nowtv.com/broadband,legitimate,5
https://profile.oracle.com/myprofile/account/forgot-password.jspx,legitimate,4
https://www.allswell.com/OnlineApplication/Home/ForgotPassword,legitimate,3
https://personal.chase.com/personal/checking,legitimate,4
https://www.utep.edu/vpba/minermall/,legitimate,5
https://www.itg.ias.edu/content/what-virtual-private-network-vpn,legitimate,4
https://www.silverscreenandroll.com/2018/8/4/17608498/la-lakers-lebron-james-co-star-lonzo-ball-brandon-ingram,legitimate,5
https://pinterest.en.softonic.com/web-apps,legitimate,2
https://www.aaadampproofing.com/dry-rot,legitimate,0
https://www.bge.com/MyAccount/MyBillUsage/pages/paymybill.aspx,legitimate,5
https://www.michaelskids.com/classes,legitimate,3
https://radaronline.com/photos/tom-cruise-nicole-kidman-kids-photos-isabella-cruise-connor-cruise-destoryed-scientology-rumors/,legitimate,5
https://www.hashcut.com/,legitimate,4
https://www.qld.gov.au/transport/licensing/driver-licensing/identity,legitimate,5
https://www.dominosaruba.com/,legitimate,2
https://nextshark.com/pissed-off-bank-employee-emails-ceo-for-raise-ccs-over-260000-of-his-co-workers/,legitimate,5
https://www.bamsec.com/companies/72971/wells-fargo-co,legitimate,4
https://www.thirdandhollywood.com/menus/,legitimate,3
https://netral.news/en/immediately-remove-these-9-applications-for-the-security-of-your-bank-account-okezone-techno.html,legitimate,3
https://www.wisebread.com/make-your-dvd-player-region-free-in-seconds,legitimate,5
http://regex.fyicenter.com/3_Example_MAC_address_validation.html,legitimate,2
https://askthemoneycoach.com/peer-peer-loans-6/,legitimate,4
https://kitetrip-planner.com/kite-a-saint-pierre-et-miquelon/,legitimate,2
https://sbical.com/,legitimate,3
https://com.miami.edu/interactive-media-mfa/,legitimate,4
https://www.4inkjets.com/,legitimate,4
https://news.sophos.com/en-us/2019/07/09/16-critical-vulnerabilities-some-being-exploited-fixed-in-july-2019-windows-updates/,legitimate,5
https://herb.co/strains/amnesia-haze/,legitimate,4
https://www.tvtaping.com/tvshows/fox-friends,legitimate,3
https://www.f-secure.com/en/home/products/anti-virus,legitimate,6
http://kids.emedtv.com/strep-throat/incubation-period-for-strep-throat.html,legitimate,2
https://ask.fm/signup,legitimate,6
https://www.ariraskin.com/discography,legitimate,2
https://portal.roksit.com/,legitimate,1
https://www.communityhealthcenters.org/patient-resources/payment/,legitimate,3
https://calculatorpi.com/,legitimate,2
https://www.dars.si/Tolling,legitimate,4
